price,model,exterior_color,interior_color,number_of_keys,year,miles,make,highway_mpg,city_mpg,car_type,number_of_doors,type_of_transmission,number_of_gears
13590,VERSA,Gray,Charcoal,1,2019,13551,NISSAN,36,27,Sedan,4,Manual,5
18590,SRX,White,Gray,1,2012,29849,CADILLAC,24,17,SUV,4,Auto,6
27990,1500 CREW CAB,Burgundy,Black / Diesel Gray Interior Colors,1,2018,53607,RAM,22,15,Truck,4,Auto,8
19590,X5,Blue,Gray,1,2013,61094,BMW,23,16,SUV,4,Auto,8
13990,MALIBU,White,Jet Black/Titanium,1,2015,58151,CHEVROLET,36,25,Sedan,4,Auto,6
16990,NIRO,Black,Charcoal,1,2017,37105,KIA,46,51,Wagon,4,Auto,6
18990,GRAND CARAVAN PASSENGER,Silver,Black Interior Color,1,2019,31968,DODGE,25,17,Minivan,4,Auto,6
16590,EQUINOX,Gray,Medium Ash Gray,1,2019,41079,CHEVROLET,32,26,SUV,4,Auto,6
18990,SORENTO,Gold,Satin Black,1,2019,37589,KIA,29,22,SUV,4,Auto,6
16990,FUSION,Gray,Charcoal Blk Lthr Trim Seat,1,2016,33183,FORD,33,22,Sedan,4,Auto,6
21590,CROSSTREK,Blue,Gray,2,2018,32020,SUBARU,33,27,SUV,4,Auto,CVT
11590,JETTA,Red,Black,1,2012,86908,VOLKSWAGEN,37,29,Sedan,4,Auto,6
14590,OUTLANDER SPORT,Gray,Black,1,2017,51049,MITSUBISHI,30,24,SUV,4,Auto,CVT
16590,MAZDA6,Black,Black,1,2015,33500,MAZDA,40,28,Sedan,4,Auto,6
17990,Q50,Brown,Beige,1,2014,67937,INFINITI,29,20,Sedan,4,Auto,7
13590,MALIBU,Burgundy,Beige,1,2015,71825,CHEVROLET,36,25,Sedan,4,Auto,6
20990,QX50,Black,Wheat,1,2017,43337,INFINITI,24,17,SUV,4,Auto,7
18990,PRIUS,Gray,Black,1,2018,43897,TOYOTA,53,58,Hatchback,4,Auto,CVT
14590,COUNTRYMAN,Silver,Red/Carbon Black Clth Lth,1,2011,68140,MINI,30,23,Hatchback,4,Auto,6
13590,MAZDA6,Silver,Black,1,2016,96355,MAZDA,40,28,Sedan,4,Auto,6
15990,ILX,White,Black,1,2016,73979,ACURA,36,25,Sedan,4,Auto,8
20590,AVALON,Blue,Beige,2,2015,57217,TOYOTA,39,40,Sedan,4,Auto,CVT
21990,5 SERIES,Blue,Black,1,2014,41993,BMW,34,23,Sedan,4,Auto,8
